	codigo_pedido	codigo_cliente	fecha_esperada	fecha_entrega
0	9	1	2008-12-27	2008-12-28
1	13	7	2009-01-14	2009-01-15
2	16	7	2009-01-07	2009-01-15
3	17	7	2009-01-09	2009-01-11
4	18	9	2009-01-06	2009-01-07
5	22	9	2009-01-11	2009-01-13
6	28	3	2009-02-17	2009-02-20
7	31	13	2008-09-30	2008-10-04
8	32	4	2007-01-19	2007-01-27
9	38	19	2009-03-06	2009-03-07
10	39	19	2009-03-07	2009-03-09
11	40	19	2009-03-10	2009-03-13
12	42	19	2009-03-23	2009-03-27
13	43	23	2009-03-26	2009-03-28
14	44	23	2009-03-27	2009-03-30
