	codigo_pedido	sum(cantidad)
0	1	113
1	2	164
2	3	232
3	4	179
4	8	14
5	9	625
6	10	40
7	11	260
8	12	290
9	13	22
10	14	21
11	15	21
12	16	22
13	17	25
14	18	16
15	19	41
16	20	22
17	21	30
18	22	1
19	23	194
20	24	19
21	25	29
22	26	27
23	27	84
24	28	12
25	29	40
26	30	33
27	31	32
28	32	40
29	33	905
30	34	112
31	35	178
32	36	28
33	37	245
34	38	7
35	39	9
36	40	12
37	41	10
38	42	4
39	43	9
40	44	5
41	45	10
42	46	12
43	47	14
44	48	147
45	49	65
46	50	71
47	51	200
48	52	10
49	53	10
50	54	69
51	55	20
52	56	22
53	57	17
54	58	364
55	59	10
56	60	10
57	61	10
58	62	10
59	63	10
60	64	10
61	65	10
62	66	10
63	67	10
64	68	10
65	74	91
66	75	130
67	76	374
68	77	49
69	78	153
70	79	50
71	80	162
72	81	30
73	82	34
74	83	30
75	89	47
76	90	41
77	91	101
78	92	62
79	93	79
80	94	124
81	95	20
82	96	36
83	97	36
84	98	62
85	99	45
86	100	60
87	101	209
88	102	55
89	103	64
90	104	122
91	105	48
92	106	278
93	107	158
94	108	112
95	109	69
96	110	21
97	111	10
98	112	10
99	113	10
100	114	10
101	115	10
102	116	78
103	117	24
104	118	10
105	119	10
106	120	10
107	121	10
108	122	10
109	123	10
110	124	10
111	125	10
112	126	10
113	127	10
114	128	33
