	base	IVA	total
0	144.00	174.2400	318.2400
1	1302.00	1575.4200	2877.4200
2	200.00	242.0000	442.0000
3	63.00	76.2300	139.2300
4	98.00	118.5800	216.5800
5	50.00	60.5000	110.5000
6	25.00	30.2500	55.2500
7	160.00	193.6000	353.6000
8	70.00	84.7000	154.7000
9	15.00	18.1500	33.1500
10	160.00	193.6000	353.6000
11	2900.00	3509.0000	6409.0000
12	337.00	407.7700	744.7700
13	216.00	261.3600	477.3600
14	2286.00	2766.0600	5052.0600
15	320.00	387.2000	707.2000
16	200.00	242.0000	442.0000
17	200.00	242.0000	442.0000
18	68.00	82.2800	150.2800
19	42.00	50.8200	92.8200
20	36.00	43.5600	79.5600
21	18.00	21.7800	39.7800
22	24.00	29.0400	53.0400
23	313.00	378.7300	691.7300
24	2620.00	3170.2000	5790.2000
25	132.00	159.7200	291.7200
26	90.00	108.9000	198.9000
27	30.00	36.3000	66.3000
28	20.00	24.2000	44.2000
29	1395.00	1687.9500	3082.9500
30	432.00	522.7200	954.7200
31	380.00	459.8000	839.8000
32	2250.00	2722.5000	4972.5000
33	30.00	36.3000	66.3000
34	360.00	435.6000	795.6000
35	240.00	290.4000	530.4000
36	100.00	121.0000	221.0000
37	100.00	121.0000	221.0000
38	280.00	338.8000	618.8000
39	40.00	48.4000	88.4000
40	102.00	123.4200	225.4200
41	500.00	605.0000	1105.0000
42	100.00	121.0000	221.0000
43	25.00	30.2500	55.2500
44	16.00	19.3600	35.3600
45	884.00	1069.6400	1953.6400
46	500.00	605.0000	1105.0000
47	3120.00	3775.2000	6895.2000
48	4130.00	4997.3000	9127.3000
49	9310.00	11265.1000	20575.1000
50	2120.00	2565.2000	4685.2000
51	975.00	1179.7500	2154.7500
52	950.00	1149.5000	2099.5000
53	1239.00	1499.1900	2738.1900
54	840.00	1016.4000	1856.4000
55	570.00	689.7000	1259.7000
56	15104.00	18275.8400	33379.8400
57	3520.00	4259.2000	7779.2000
58	2205.00	2668.0500	4873.0500
59	950.00	1149.5000	2099.5000
60	468.00	566.2800	1034.2800
61	485.00	586.8500	1071.8500
62	128.00	154.8800	282.8800
63	73510.00	88947.1000	162457.1000
64	150.00	181.5000	331.5000
65	30.00	36.3000	66.3000
66	517.00	625.5700	1142.5700
